TransactionAmount,TransactionType,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,CustomerOccupation,Location,Channel,TransactionDate,PreviousTransactionDate,Label
424.56,Debit,51,264,1,5183.85,Engineer,Omaha,Online,2023-02-21 17:45:55,2024-11-04 08:09:02,0
85.43,Debit,67,145,1,14904.9,Doctor,Virginia Beach,Branch,2023-06-07 16:45:34,2024-11-04 08:06:45,0
169.5,Debit,28,142,1,918.88,Student,San Diego,Branch,2023-09-07 16:51:27,2024-11-04 08:08:58,2
104.63,Debit,62,90,1,4477.78,Retired,Omaha,ATM,2023-03-29 17:47:16,2024-11-04 08:10:42,0
316.95,Debit,25,83,1,1324.03,Student,Mesa,Branch,2023-08-04 17:53:40,2024-11-04 08:09:15,2
60.54,Credit,57,52,1,3534.93,Retired,Columbus,Branch,2023-12-14 17:52:37,2024-11-04 08:09:57,1
292.56,Credit,68,61,1,4638.37,Retired,Dallas,Branch,2023-03-03 17:37:41,2024-11-04 08:07:49,1
386.52,Debit,48,28,1,5630.61,Engineer,Indianapolis,Branch,2023-06-09 16:18:15,2024-11-04 08:07:09,0
112.07,Debit,23,51,1,930.3,Student,Kansas City,Branch,2023-10-02 16:35:22,2024-11-04 08:11:37,2
568.52,Debit,46,152,1,5499.91,Engineer,Indianapolis,ATM,2023-10-06 18:44:37,2024-11-04 08:06:25,0
263.99,Debit,79,227,2,4175.02,Retired,Dallas,Branch,2023-05-16 16:07:30,2024-11-04 08:11:03,0
349.64,Debit,48,226,1,6651.62,Engineer,Las Vegas,Online,2023-11-07 16:48:23,2024-11-04 08:08:09,0
601.4,Credit,56,104,1,8458.29,Engineer,Philadelphia,Branch,2023-05-30 17:43:25,2024-11-04 08:08:01,1
5.77,Debit,50,124,1,13988.12,Doctor,Charlotte,Online,2023-11-02 16:01:40,2024-11-04 08:11:32,0
201.33,Credit,42,186,1,2585.07,Engineer,Nashville,Branch,2023-03-29 17:00:31,2024-11-04 08:11:41,1
298.42,Debit,56,225,1,3014.75,Retired,Indianapolis,Branch,2023-04-25 16:11:24,2024-11-04 08:10:12,0
521.06,Debit,25,128,1,1951.42,Student,Albuquerque,Branch,2023-04-18 18:40:47,2024-11-04 08:12:10,2
117.28,Credit,60,16,1,3665.77,Engineer,Austin,Online,2023-02-09 16:34:53,2024-11-04 08:07:11,1
189.12,Credit,32,103,1,977.01,Engineer,Indianapolis,Branch,2023-11-13 16:42:28,2024-11-04 08:08:42,1
133.55,Debit,44,220,1,3846.28,Engineer,Atlanta,ATM,2023-07-18 16:12:00,2024-11-04 08:10:18,0
143.21,Debit,35,135,1,6374.82,Engineer,Dallas,Online,2023-01-13 17:00:16,2024-11-04 08:09:26,0
24.77,Debit,62,55,1,5866.01,Retired,Boston,ATM,2023-07-04 18:20:33,2024-11-04 08:12:15,0
233.92,Credit,26,280,1,6537.62,Student,Jacksonville,Online,2023-10-20 16:54:28,2024-11-04 08:08:45,3
1212.51,Debit,20,24,1,605.95,Student,Indianapolis,Branch,2023-10-04 16:36:29,2024-11-04 08:06:51,2
232.12,Debit,37,51,1,6689.87,Engineer,Omaha,ATM,2023-12-28 17:31:03,2024-11-04 08:09:17,0
162.63,Debit,22,113,1,634.17,Student,Kansas City,Online,2023-06-12 17:53:52,2024-11-04 08:08:22,2
91.53,Debit,44,69,1,14676.05,Doctor,Milwaukee,Branch,2023-03-13 16:32:12,2024-11-04 08:11:36,0
120.29,Debit,19,77,1,1362.39,Student,Miami,Branch,2023-12-18 18:46:27,2024-11-04 08:06:50,2
174.25,Debit,50,67,1,10528.34,Doctor,Seattle,Online,2023-07-17 18:54:31,2024-11-04 08:10:29,0
183.71,Debit,38,102,1,552.52,Engineer,Denver,ATM,2023-06-19 18:22:10,2024-11-04 08:09:51,0
345.39,Credit,58,80,1,6451.96,Engineer,Phoenix,Online,2023-10-23 17:13:57,2024-11-04 08:08:16,1
922.55,Debit,63,87,1,4715.84,Retired,Detroit,ATM,2023-01-23 16:32:48,2024-11-04 08:11:07,0
259.91,Debit,49,170,1,7176.86,Doctor,Denver,Online,2023-11-06 16:34:10,2024-11-04 08:09:38,0
154.71,Debit,34,157,1,1523.72,Doctor,San Diego,Online,2023-07-03 16:40:24,2024-11-04 08:09:42,0
1340.19,Credit,54,30,1,8654.28,Engineer,Austin,Online,2023-09-29 17:22:10,2024-11-04 08:06:53,1
24.56,Debit,64,69,1,9869.93,Doctor,Mesa,Branch,2023-10-20 17:27:35,2024-11-04 08:12:05,0
568.07,Debit,48,115,1,10556.81,Doctor,Washington,ATM,2023-08-28 17:03:53,2024-11-04 08:07:32,0
9.61,Credit,58,179,1,12883.91,Doctor,San Diego,Online,2023-06-22 18:37:29,2024-11-04 08:09:10,1
392.96,Debit,24,100,1,791.65,Student,Kansas City,Online,2023-11-20 16:28:09,2024-11-04 08:08:38,2
716.93,Credit,60,34,1,4064.02,Retired,Milwaukee,Online,2023-09-14 16:49:33,2024-11-04 08:08:12,1
223.85,Debit,53,55,4,2929.91,Engineer,Kansas City,ATM,2023-10-02 16:36:10,2024-11-04 08:08:01,0
230.66,Debit,21,135,1,618.05,Student,Houston,Branch,2023-03-27 18:16:04,2024-11-04 08:10:44,2
442.12,Debit,19,260,1,1375.8,Student,Los Angeles,Online,2023-12-21 16:37:03,2024-11-04 08:08:21,2
644.17,Debit,29,72,1,1143.52,Engineer,San Antonio,ATM,2023-03-02 16:05:09,2024-11-04 08:08:04,2
508.68,Credit,51,127,1,7708.41,Engineer,Mesa,Branch,2023-06-26 16:16:50,2024-11-04 08:09:32,1
858.63,Credit,27,185,1,1872.96,Student,San Francisco,Branch,2023-04-18 17:27:23,2024-11-04 08:10:47,3
25.36,Debit,57,78,1,201.04,Engineer,Louisville,ATM,2023-07-17 17:08:24,2024-11-04 08:11:05,0
147.62,Debit,71,133,1,2115.8,Retired,Charlotte,Branch,2023-09-01 17:26:02,2024-11-04 08:07:22,0
115.02,Debit,37,175,1,7643.66,Doctor,San Antonio,Branch,2023-09-11 16:19:04,2024-11-04 08:08:38,0
383.37,Debit,30,24,1,8901.93,Engineer,Fort Worth,Branch,2023-01-24 17:23:56,2024-11-04 08:11:07,0
98.54,Credit,20,167,1,9383.43,Student,El Paso,Online,2023-08-11 16:18:46,2024-11-04 08:10:02,3
83.24,Credit,55,164,1,1181.31,Doctor,Fort Worth,Branch,2023-10-16 18:35:11,2024-11-04 08:10:52,1
196.16,Debit,27,146,1,9418.86,Engineer,Virginia Beach,Branch,2023-02-24 16:29:23,2024-11-04 08:08:32,0
129.94,Debit,32,235,1,7954.92,Engineer,Las Vegas,ATM,2023-01-02 16:36:02,2024-11-04 08:06:35,0
306.9,Debit,46,51,1,9418.08,Engineer,Colorado Springs,Online,2023-11-30 16:31:03,2024-11-04 08:10:48,0
114.98,Debit,59,80,1,6144.68,Retired,Seattle,Online,2023-11-01 16:52:01,2024-11-04 08:09:24,0
756.59,Debit,27,17,1,420.65,Student,Sacramento,Branch,2023-03-06 16:47:02,2024-11-04 08:11:40,2
503.76,Debit,22,35,1,447.82,Student,Los Angeles,Online,2023-11-27 18:32:49,2024-11-04 08:09:22,2
143.03,Debit,63,147,1,7981.45,Retired,San Antonio,ATM,2023-07-31 16:37:46,2024-11-04 08:10:42,0
1045.22,Debit,53,73,1,1829.9,Retired,Columbus,ATM,2023-11-22 16:13:39,2024-11-04 08:07:35,0
245.54,Debit,25,180,1,985.06,Student,New York,ATM,2023-03-21 16:29:31,2024-11-04 08:10:26,2
254.37,Credit,51,174,1,8849.26,Engineer,Dallas,Online,2023-04-20 18:26:50,2024-11-04 08:06:56,1
213.76,Credit,78,282,1,3528.72,Retired,Dallas,ATM,2023-03-01 17:52:14,2024-11-04 08:09:36,1
327.86,Debit,40,104,1,480.16,Engineer,Fresno,Online,2023-02-10 16:52:48,2024-11-04 08:06:30,0
2.5,Debit,47,107,1,12145.27,Doctor,San Diego,Online,2023-07-21 16:43:11,2024-11-04 08:09:53,0
300.08,Credit,68,47,1,13546.75,Doctor,Austin,Online,2023-10-09 17:02:43,2024-11-04 08:12:18,1
56.98,Credit,43,122,2,5688.37,Engineer,Oklahoma City,ATM,2024-01-01 16:34:10,2024-11-04 08:07:42,1
407.65,Debit,26,62,1,8346.64,Engineer,Boston,Online,2023-07-07 16:11:38,2024-11-04 08:06:30,0
115.83,Debit,39,167,1,6481.04,Engineer,Fresno,Branch,2023-05-22 17:09:52,2024-11-04 08:10:02,0
53.57,Debit,69,121,1,1651.33,Retired,Houston,ATM,2023-08-16 16:17:12,2024-11-04 08:08:43,0
63.34,Credit,46,165,1,11174.94,Doctor,Detroit,Online,2023-11-17 16:02:02,2024-11-04 08:10:13,1
317.87,Debit,27,91,1,145.5,Student,Detroit,Online,2023-05-22 17:29:35,2024-11-04 08:11:32,2
331.65,Debit,41,61,1,4172.57,Engineer,Portland,Online,2023-08-25 17:26:07,2024-11-04 08:11:00,0
5.04,Debit,56,41,1,5558.36,Retired,Washington,ATM,2023-11-27 16:38:34,2024-11-04 08:10:48,0
214.54,Credit,70,247,1,11151.53,Doctor,Detroit,Online,2023-08-04 17:46:44,2024-11-04 08:11:56,1
598.81,Debit,57,158,1,1415.52,Doctor,Philadelphia,Branch,2023-09-04 16:48:35,2024-11-04 08:10:13,0
841.28,Debit,26,80,1,1103.64,Student,Tucson,Online,2023-08-09 17:34:26,2024-11-04 08:09:58,2
38.15,Debit,26,108,1,303.68,Student,Mesa,Online,2023-09-07 16:07:40,2024-11-04 08:07:42,2
1036.66,Debit,58,144,1,5541.57,Doctor,San Antonio,Branch,2023-07-11 16:39:53,2024-11-04 08:09:24,0
124.72,Debit,33,105,1,6309.8,Engineer,Oklahoma City,Branch,2023-07-03 17:14:07,2024-11-04 08:07:25,0
302.45,Credit,78,40,1,5133.61,Retired,San Antonio,Branch,2023-09-25 17:13:36,2024-11-04 08:11:55,1
208.04,Debit,47,273,1,9344.98,Engineer,Louisville,Online,2023-11-20 17:10:02,2024-11-04 08:08:45,0
5.77,Credit,23,254,1,1117.97,Student,Los Angeles,Branch,2023-11-17 17:27:07,2024-11-04 08:10:53,3
381.33,Debit,56,75,1,11835.35,Doctor,Albuquerque,ATM,2023-08-21 16:46:05,2024-11-04 08:09:32,0
16.16,Debit,50,124,1,14401.17,Doctor,Milwaukee,ATM,2023-10-16 16:59:36,2024-11-04 08:11:59,0
486.08,Debit,18,68,1,1748.69,Student,Oklahoma City,Online,2023-06-20 17:21:50,2024-11-04 08:07:03,2
336.39,Debit,21,18,1,1000.46,Student,San Antonio,Branch,2023-01-16 16:53:38,2024-11-04 08:09:57,2
997.43,Debit,69,118,1,6810.05,Doctor,Seattle,Online,2023-11-22 16:07:19,2024-11-04 08:08:25,0
234.57,Debit,23,120,1,263.98,Student,Chicago,Online,2023-09-01 16:09:08,2024-11-04 08:08:47,2
6.0,Debit,30,246,1,5442.76,Doctor,Chicago,Online,2023-10-23 18:38:15,2024-11-04 08:09:43,0
1049.92,Debit,80,21,1,2037.85,Retired,Detroit,ATM,2023-10-23 16:50:33,2024-11-04 08:10:34,0
227.14,Debit,18,294,1,341.94,Student,Charlotte,ATM,2023-07-03 17:42:08,2024-11-04 08:11:34,2
233.74,Credit,66,17,1,1066.59,Retired,Oklahoma City,Online,2023-10-24 16:41:00,2024-11-04 08:11:17,1
113.02,Credit,69,166,1,6077.96,Retired,Jacksonville,Branch,2023-09-25 16:54:22,2024-11-04 08:07:21,1
45.85,Debit,20,92,1,1659.15,Student,Los Angeles,ATM,2023-02-16 17:57:10,2024-11-04 08:07:24,2
973.39,Debit,77,296,1,2042.22,Retired,Sacramento,Branch,2023-08-30 17:23:20,2024-11-04 08:11:44,0
514.95,Debit,41,142,5,421.93,Doctor,New York,Online,2023-04-13 18:37:48,2024-11-04 08:10:01,0
415.5,Debit,66,141,1,10113.66,Doctor,Memphis,ATM,2023-07-28 16:29:23,2024-11-04 08:10:23,0
265.76,Debit,54,92,1,4446.17,Retired,Philadelphia,Online,2023-02-06 17:48:55,2024-11-04 08:12:18,0
69.4,Debit,80,113,1,6452.77,Retired,Virginia Beach,Online,2023-07-24 18:08:43,2024-11-04 08:09:04,0
332.93,Credit,35,293,1,2788.2,Engineer,Albuquerque,Branch,2023-11-20 16:29:48,2024-11-04 08:08:14,1
267.9,Debit,20,160,1,596.16,Student,San Antonio,Online,2023-10-09 16:52:47,2024-11-04 08:08:34,2
496.03,Debit,61,265,1,12904.66,Doctor,San Francisco,Branch,2023-11-03 16:45:52,2024-11-04 08:09:41,0
376.26,Debit,37,245,1,9062.4,Engineer,Tucson,ATM,2023-02-15 16:41:11,2024-11-04 08:09:58,0
83.02,Credit,36,171,1,9009.56,Engineer,Seattle,Online,2023-09-04 17:59:51,2024-11-04 08:11:01,1
93.26,Credit,20,72,1,1152.2,Student,New York,Online,2023-07-27 16:22:52,2024-11-04 08:12:04,3
803.37,Credit,68,129,1,12168.37,Doctor,Memphis,Branch,2023-04-17 16:08:34,2024-11-04 08:08:40,1
35.76,Debit,23,122,1,611.86,Student,Charlotte,Branch,2023-09-19 17:38:18,2024-11-04 08:11:40,2
28.53,Debit,62,99,1,8670.53,Doctor,Washington,Online,2023-05-31 16:37:39,2024-11-04 08:06:30,0
139.53,Credit,53,177,1,10098.86,Doctor,Louisville,Online,2023-10-09 17:20:09,2024-11-04 08:07:31,1
307.57,Debit,33,285,1,5307.74,Doctor,Detroit,Branch,2023-01-09 16:12:01,2024-11-04 08:06:33,0
60.65,Credit,56,53,1,1047.28,Retired,Tucson,Branch,2023-05-26 18:15:08,2024-11-04 08:09:22,1
74.86,Debit,70,125,1,6921.48,Doctor,Nashville,Branch,2023-08-14 17:43:17,2024-11-04 08:07:39,0
117.97,Debit,51,137,1,1475.46,Retired,Kansas City,Branch,2023-11-24 18:51:32,2024-11-04 08:09:21,0
231.91,Debit,34,165,1,112.76,Engineer,Memphis,ATM,2023-01-31 18:31:22,2024-11-04 08:12:15,0
126.21,Debit,75,268,1,5669.66,Retired,Baltimore,Branch,2023-02-14 16:07:01,2024-11-04 08:08:42,0
506.28,Credit,53,162,2,1309.95,Retired,Chicago,Online,2023-05-02 17:03:29,2024-11-04 08:09:09,1
304.35,Debit,31,36,1,4057.1,Engineer,Houston,Branch,2023-12-04 17:07:34,2024-11-04 08:08:45,0
281.85,Debit,22,109,1,1585.98,Student,Detroit,ATM,2023-05-16 17:26:37,2024-11-04 08:07:38,2
777.88,Debit,31,17,1,6825.55,Engineer,Houston,Branch,2023-03-20 16:58:12,2024-11-04 08:09:15,0
119.18,Debit,56,96,1,5516.5,Retired,Los Angeles,Branch,2023-08-25 18:01:38,2024-11-04 08:07:34,0
177.19,Debit,76,43,1,5343.3,Retired,Chicago,Online,2023-05-15 17:25:28,2024-11-04 08:06:30,0
260.88,Debit,22,36,1,903.05,Student,Denver,Branch,2023-05-29 16:50:10,2024-11-04 08:06:52,2
169.47,Debit,24,19,1,1806.16,Student,Chicago,Online,2023-03-22 16:10:14,2024-11-04 08:07:37,2
73.23,Debit,26,14,1,787.74,Student,Portland,Branch,2023-05-19 16:52:53,2024-11-04 08:11:12,2
1362.55,Debit,29,106,1,2429.68,Engineer,El Paso,ATM,2023-02-10 18:07:07,2024-11-04 08:11:05,2
792.57,Debit,19,164,1,770.37,Student,Baltimore,ATM,2023-05-22 16:22:36,2024-11-04 08:10:39,2
237.06,Debit,71,46,1,1182.77,Retired,Phoenix,Online,2023-12-18 16:47:17,2024-11-04 08:07:50,0
34.17,Credit,54,54,1,726.55,Engineer,Philadelphia,Online,2023-11-21 16:57:43,2024-11-04 08:06:29,1
740.25,Debit,41,123,1,14464.3,Doctor,Philadelphia,Online,2023-07-19 17:03:58,2024-11-04 08:08:27,0
453.54,Debit,58,82,1,12046.3,Doctor,Albuquerque,ATM,2023-04-19 16:36:03,2024-11-04 08:12:06,0
300.47,Debit,73,100,1,7885.64,Retired,Jacksonville,Branch,2023-11-13 16:11:52,2024-11-04 08:08:00,0
110.93,Credit,19,201,1,1952.35,Student,Virginia Beach,Branch,2023-04-07 16:38:15,2024-11-04 08:10:53,3
201.69,Debit,59,299,1,7328.52,Doctor,Las Vegas,ATM,2023-01-03 16:46:36,2024-11-04 08:10:16,0
399.21,Debit,59,109,1,3210.39,Engineer,Portland,ATM,2023-01-30 16:15:49,2024-11-04 08:08:21,0
1041.88,Debit,78,57,1,5726.2,Retired,Jacksonville,Online,2023-09-06 16:44:02,2024-11-04 08:06:44,0
630.36,Debit,62,52,1,1363.65,Retired,Mesa,ATM,2023-03-02 16:11:53,2024-11-04 08:12:15,0
10.94,Credit,60,245,1,1241.99,Engineer,Philadelphia,ATM,2023-10-23 17:24:07,2024-11-04 08:11:53,1
215.9,Debit,38,235,1,7873.28,Doctor,Los Angeles,ATM,2023-01-04 16:02:09,2024-11-04 08:10:23,0
1422.55,Debit,79,165,1,5674.32,Retired,Washington,Branch,2023-07-10 17:49:18,2024-11-04 08:06:50,0
226.37,Credit,49,141,1,9840.04,Doctor,Louisville,Branch,2023-09-18 17:07:08,2024-11-04 08:09:56,1
444.89,Credit,43,101,1,10328.23,Doctor,Las Vegas,Branch,2023-09-11 16:27:39,2024-11-04 08:11:50,1
280.57,Credit,25,24,1,293.24,Student,Virginia Beach,Online,2023-01-27 17:35:05,2024-11-04 08:10:24,3
488.54,Debit,52,132,1,7486.63,Engineer,Jacksonville,Branch,2023-07-03 17:47:49,2024-11-04 08:07:26,0
3.3,Credit,50,131,1,11385.37,Doctor,Los Angeles,Branch,2023-03-27 16:42:16,2024-11-04 08:10:11,1
199.39,Debit,69,165,1,7264.79,Retired,Colorado Springs,Branch,2023-08-21 16:16:22,2024-11-04 08:09:06,0
20.36,Debit,62,75,1,2762.48,Retired,Tucson,Branch,2023-07-24 17:02:18,2024-11-04 08:11:15,0
113.64,Debit,62,32,1,6675.03,Retired,Detroit,Online,2023-10-24 17:09:41,2024-11-04 08:07:55,0
493.11,Debit,53,236,1,7432.99,Retired,Colorado Springs,Branch,2023-07-31 16:25:26,2024-11-04 08:08:01,0
307.41,Debit,19,14,1,1057.0,Student,Los Angeles,ATM,2023-06-12 17:32:52,2024-11-04 08:09:48,2
11.18,Debit,43,161,1,5956.89,Doctor,Atlanta,Online,2023-11-30 16:52:42,2024-11-04 08:10:20,0
313.82,Debit,59,151,1,7261.59,Engineer,Tucson,Branch,2023-11-15 18:57:38,2024-11-04 08:08:42,0
51.0,Debit,64,107,1,4943.16,Retired,Seattle,Branch,2023-01-30 16:00:38,2024-11-04 08:08:23,0
140.98,Debit,60,100,1,8127.48,Engineer,Memphis,Branch,2023-05-25 16:34:22,2024-11-04 08:12:13,0
288.04,Debit,68,63,1,1748.02,Retired,Denver,ATM,2023-08-24 16:47:21,2024-11-04 08:10:00,0
800.55,Debit,31,108,1,9660.22,Engineer,Oklahoma City,ATM,2023-05-04 16:21:31,2024-11-04 08:06:49,0
485.54,Debit,46,143,1,6371.51,Engineer,Houston,ATM,2023-02-06 17:46:59,2024-11-04 08:11:46,0
521.15,Debit,54,214,1,9442.47,Doctor,Kansas City,ATM,2023-02-17 18:16:05,2024-11-04 08:07:31,0
321.79,Credit,63,61,1,5959.2,Retired,Raleigh,ATM,2023-08-07 17:30:33,2024-11-04 08:10:01,1
304.93,Debit,65,158,1,13531.22,Doctor,Portland,ATM,2023-02-24 16:23:22,2024-11-04 08:08:15,0
432.08,Debit,40,145,1,11500.62,Doctor,El Paso,ATM,2023-07-31 16:04:55,2024-11-04 08:11:46,0
694.2,Debit,61,72,1,1389.37,Retired,Milwaukee,ATM,2023-12-07 16:20:08,2024-11-04 08:07:23,0
116.86,Debit,55,171,1,6706.56,Engineer,Louisville,ATM,2023-03-20 18:28:48,2024-11-04 08:12:15,0
386.81,Credit,57,149,1,7175.29,Doctor,Detroit,Online,2023-03-03 18:02:52,2024-11-04 08:10:50,1
74.88,Debit,25,202,1,420.67,Student,Atlanta,ATM,2023-05-24 16:25:50,2024-11-04 08:07:46,2
195.76,Debit,75,99,1,7323.53,Retired,Philadelphia,Branch,2023-05-22 16:17:19,2024-11-04 08:09:48,0
134.7,Debit,50,106,1,8395.85,Doctor,Fort Worth,ATM,2023-08-21 16:03:18,2024-11-04 08:11:07,0
890.24,Credit,33,161,1,5140.93,Engineer,Las Vegas,Online,2023-07-07 18:03:43,2024-11-04 08:07:32,1
361.27,Debit,63,180,1,7945.57,Doctor,Omaha,ATM,2023-01-06 17:01:53,2024-11-04 08:10:07,0
131.56,Debit,44,42,1,5873.54,Doctor,Charlotte,Branch,2023-10-19 16:42:37,2024-11-04 08:07:12,0
485.51,Credit,76,37,1,3074.45,Retired,Milwaukee,Online,2023-11-28 16:49:27,2024-11-04 08:08:02,1
547.87,Debit,64,131,1,6155.76,Retired,Columbus,ATM,2023-07-10 17:15:27,2024-11-04 08:10:31,0
457.3,Debit,28,15,1,8318.29,Engineer,Virginia Beach,Online,2023-06-26 18:25:21,2024-11-04 08:07:53,0
506.24,Debit,58,64,1,230.09,Engineer,Chicago,ATM,2023-01-13 16:44:26,2024-11-04 08:11:40,0
486.59,Debit,57,119,1,2513.56,Retired,Indianapolis,Branch,2023-12-19 16:55:17,2024-11-04 08:10:02,0
163.68,Debit,41,292,1,10090.05,Doctor,San Diego,Branch,2023-09-28 16:20:57,2024-11-04 08:11:01,0
581.65,Debit,22,176,1,480.19,Student,Boston,ATM,2023-01-09 16:54:58,2024-11-04 08:09:39,2
